Date,1. open,2. high,3. low,4. close,5. volume
2024-07-15,860.0,886.9,860.0,881.6,1981455.0
2024-07-12,856.7,863.4,855.5,859.65,905757.0
2024-07-11,854.7,858.0,849.55,856.55,481214.0
2024-07-10,861.0,861.0,843.3,849.1,479702.0
2024-07-09,860.0,869.9,855.85,860.95,758991.0
2024-07-08,859.5,864.8,852.9,856.25,1108215.0
2024-07-05,838.7,861.55,837.65,860.05,1499246.0
2024-07-04,844.6,844.6,834.5,839.25,674690.0
2024-07-03,829.7,843.8,825.05,840.1,1672011.0
2024-07-02,844.85,846.45,822.85,826.35,1099939.0
2024-07-01,850.0,850.55,839.95,842.1,1084488.0
2024-06-28,847.5,863.75,844.15,848.85,1916294.0
2024-06-27,845.05,847.4,838.4,844.15,473372.0
2024-06-26,841.8,848.6,836.0,845.05,543783.0
2024-06-25,838.65,845.75,834.95,841.85,538485.0
2024-06-24,832.75,836.05,820.85,832.65,2194566.0
2024-06-21,845.0,848.0,828.65,836.4,1667384.0
2024-06-20,853.95,853.95,842.4,843.8,513158.0
2024-06-19,846.05,860.5,841.05,852.6,1066899.0
2024-06-18,843.2,851.5,840.35,844.6,963912.0
2024-06-14,844.0,849.75,835.9,840.2,1706369.0
2024-06-13,845.0,845.75,836.0,843.9,815906.0
2024-06-12,837.7,845.25,833.0,839.15,610408.0
2024-06-11,836.75,839.45,829.1,835.25,890869.0
2024-06-10,834.9,846.0,829.0,832.15,1655324.0
2024-06-07,820.5,831.0,810.3,829.9,2139387.0
2024-06-06,802.75,833.1,795.7,816.95,1355824.0
2024-06-05,793.95,793.95,744.1,789.65,3953125.0
2024-06-04,905.8,905.8,734.25,775.2,7900395.0
2024-06-03,867.95,912.1,856.85,905.8,3819398.0
2024-05-31,831.8,834.45,817.1,830.1,1053768.0
2024-05-30,822.95,836.0,820.4,826.05,742252.0
2024-05-29,830.85,834.45,819.55,822.95,2180643.0
2024-05-28,836.8,840.45,823.65,830.9,445715.0
2024-05-27,833.5,839.4,823.0,834.1,1143699.0
2024-05-24,830.95,841.0,826.85,828.6,979447.0
2024-05-23,825.0,835.4,822.1,832.35,856598.0
2024-05-22,827.85,827.85,813.6,819.3,594888.0
2024-05-21,824.85,836.2,819.55,830.55,369412.0
2024-05-17,815.15,822.4,811.5,817.85,742324.0
2024-05-16,825.0,826.0,797.5,811.9,827240.0
2024-05-15,821.95,825.35,818.05,820.4,282771.0
2024-05-14,812.7,822.0,808.0,818.15,365478.0
2024-05-13,819.0,819.4,798.65,808.85,1305149.0
2024-05-10,828.7,832.1,815.7,818.35,855049.0
2024-05-09,813.45,839.6,803.55,819.65,1177161.0
2024-05-08,802.35,821.8,799.65,810.4,752735.0
2024-05-07,811.2,814.45,793.35,801.95,352828.0
2024-05-06,835.0,835.0,803.05,807.75,1082721.0
2024-05-03,834.5,836.0,820.1,831.55,843949.0
2024-05-02,826.6,833.95,825.7,830.05,286451.0
2024-04-30,827.4,834.6,820.0,825.7,602010.0
2024-04-29,809.0,831.0,798.75,826.15,1369981.0
2024-04-26,815.05,816.85,799.0,801.4,848439.0
2024-04-25,769.0,814.45,769.0,812.6,1634667.0
2024-04-24,778.1,778.1,770.35,773.2,262806.0
2024-04-23,771.85,777.5,765.85,772.85,255601.0
2024-04-22,754.95,768.95,750.45,765.85,871015.0
2024-04-19,735.3,752.25,732.05,750.8,1018883.0
2024-04-18,752.25,759.95,742.2,744.8,708924.0
2024-04-16,750.6,754.9,744.5,751.9,539562.0
2024-04-15,751.5,763.0,748.5,756.85,719175.0
2024-04-12,778.95,779.5,764.65,766.75,911540.0
2024-04-10,767.75,780.7,763.9,779.0,346439.0
2024-04-09,768.0,772.45,761.1,764.15,1047810.0
2024-04-08,767.65,770.0,761.85,768.4,391601.0
2024-04-05,758.85,766.2,752.7,764.35,574320.0
2024-04-04,775.0,775.0,758.0,759.25,321746.0
2024-04-03,765.7,772.0,760.05,770.95,517017.0
2024-04-02,758.95,768.8,753.35,767.35,285536.0
2024-04-01,759.8,761.7,752.05,758.2,617725.0
2024-03-28,738.7,759.55,736.8,752.6,873887.0
2024-03-27,742.6,745.8,730.15,734.05,441567.0
2024-03-26,744.95,747.5,738.15,740.05,6074241.0
2024-03-22,743.3,749.0,741.55,746.4,656117.0
2024-03-21,742.8,750.55,740.55,743.8,472692.0
2024-03-20,724.5,738.9,720.0,736.3,342014.0
2024-03-19,730.95,734.2,721.25,723.1,176073.0
2024-03-18,726.4,737.9,722.2,730.7,549342.0
2024-03-15,740.5,746.6,723.05,732.0,855356.0
2024-03-14,750.9,750.9,734.05,740.75,388377.0
2024-03-13,759.35,763.7,743.2,746.4,403736.0
2024-03-12,770.0,777.65,757.5,759.4,417860.0
2024-03-11,788.65,792.8,770.7,773.5,603641.0
2024-03-07,788.35,793.5,782.95,788.15,773604.0
2024-03-06,784.75,790.15,772.9,784.05,458020.0
2024-03-05,770.0,786.9,769.05,783.9,776880.0
2024-03-04,774.9,776.8,769.05,772.15,553231.0
2024-03-01,753.95,771.85,752.4,769.3,1205254.0
2024-02-29,744.9,754.0,737.35,749.3,372531.0
2024-02-28,749.7,756.7,741.0,742.35,234215.0
2024-02-27,759.0,762.3,742.4,749.7,2136050.0
2024-02-26,755.0,766.2,752.6,759.0,667473.0
2024-02-23,766.85,770.25,755.2,759.4,1157557.0
2024-02-22,773.0,773.55,757.0,765.95,729181.0
2024-02-21,761.75,777.5,760.0,771.55,1762589.0
2024-02-20,759.0,763.3,753.9,760.1,261103.0
2024-02-19,757.05,764.9,750.0,759.1,702842.0
2024-02-16,763.9,774.7,753.15,754.75,1233883.0
2024-02-15,746.7,763.9,741.7,761.6,785800.0
